"tokenId","sender","price","timestamp"
"OTK059-3","terra1uy3yqel8rg7ysnytza7sq9ausvl9ch54qtnytn","79uusd","2022-04-22T18:30:05Z"
"OTK079-44","terra17nqhlg2esuzuu8mquhe7qhtal3rf5ekn5ulcuu","19uusd","2022-04-22T18:29:32Z"
"OTK079-9","terra17nqhlg2esuzuu8mquhe7qhtal3rf5ekn5ulcuu","18uusd","2022-04-22T18:24:47Z"
"OTK092-205","terra17nqhlg2esuzuu8mquhe7qhtal3rf5ekn5ulcuu","9uusd","2022-04-22T18:22:33Z"
"OTK116-293","terra1nxamjs3wha5uuv20pwkfnx24fs5wkfs85u59mc","8uusd","2022-04-22T18:22:14Z"
"OTK106-293","terra1nxamjs3wha5uuv20pwkfnx24fs5wkfs85u59mc","5uusd","2022-04-22T18:18:00Z"
"OTK087-133","terra1xta2dpgtncvu0vwt4a87ed745s7psc0jdxgsqh","30uusd","2022-04-22T18:17:40Z"
"OTK096-102","terra1nxamjs3wha5uuv20pwkfnx24fs5wkfs85u59mc","7.49uusd","2022-04-22T18:14:44Z"
"OTK056-19","terra1uy3yqel8rg7ysnytza7sq9ausvl9ch54qtnytn","222uusd","2022-04-22T18:11:13Z"
"OTK058-3","terra1nxamjs3wha5uuv20pwkfnx24fs5wkfs85u59mc","75uusd","2022-04-22T18:08:58Z"
"OTK122-241","terra1xta2dpgtncvu0vwt4a87ed745s7psc0jdxgsqh","15.5uusd","2022-04-22T17:44:59Z"
"OTK100-276","terra1xta2dpgtncvu0vwt4a87ed745s7psc0jdxgsqh","6uusd","2022-04-22T17:09:05Z"
"OTK100-91","terra1xta2dpgtncvu0vwt4a87ed745s7psc0jdxgsqh","5uusd","2022-04-22T17:08:13Z"
"OTK104-20","terra1nxamjs3wha5uuv20pwkfnx24fs5wkfs85u59mc","6.5uusd","2022-04-22T17:07:33Z"
"OTK156-422","terra1nxamjs3wha5uuv20pwkfnx24fs5wkfs85u59mc","7.5uusd","2022-04-22T17:04:56Z"
"OTK079-130","terra1nxamjs3wha5uuv20pwkfnx24fs5wkfs85u59mc","15uusd","2022-04-22T17:02:57Z"
"OTK111-496","terra1nxamjs3wha5uuv20pwkfnx24fs5wkfs85u59mc","7uusd","2022-04-22T17:01:05Z"
"OTK151-119","terra1xta2dpgtncvu0vwt4a87ed745s7psc0jdxgsqh","7.5uusd","2022-04-22T16:59:06Z"
"OTK090-96","terra1xta2dpgtncvu0vwt4a87ed745s7psc0jdxgsqh","30uusd","2022-04-22T16:39:17Z"
"OTK081-84","terra1cqk7jkdsdv54glf89n7dns75mewf78xzzpaecj","17.9uusd","2022-04-22T16:08:44Z"
"OTK041-68","terra1cqk7jkdsdv54glf89n7dns75mewf78xzzpaecj","98uusd","2022-04-22T16:06:04Z"
"OTK040-65","terra1xwte6vsz0873fmyfmc8z5ahdqjgxlpmu9h9lw6","70uusd","2022-04-22T15:38:56Z"
"OTK022-5","terra1uy3yqel8rg7ysnytza7sq9ausvl9ch54qtnytn","1800uusd","2022-04-22T15:35:03Z"
"OTK096-333","terra1cqk7jkdsdv54glf89n7dns75mewf78xzzpaecj","7uusd","2022-04-22T15:28:22Z"
"OTK097-352","terra1gctqarq5d6lcfx4kl3wdxrdvpfsuqgq0q8ha8e","8.5uusd","2022-04-22T15:20:35Z"
"OTK158-12","terra1cqk7jkdsdv54glf89n7dns75mewf78xzzpaecj","7uusd","2022-04-22T15:12:22Z"
"OTK074-48","terra1sgscz6k9n4l0f8al45ldwrr2uc7dncl2zae9jy","45uusd","2022-04-22T14:54:39Z"
"OTK087-173","terra1sgscz6k9n4l0f8al45ldwrr2uc7dncl2zae9jy","25uusd","2022-04-22T14:48:42Z"
